AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR
1,0,580,0,0,1,1,0,697,0,0,2
3,0,224,0,0,0,3,0,361,0,0,8
0,0,1111,0,0,1,0,0,1457,0,0,78
5,80,10376,1,26,12,9,76,9340,0,0,202
0,8,1638,0,0,1,1,0,1656,0,0,77
0,30,15225,0,11,3,20,4,8132,0,0,854
2,0,2637,3,1,1,7,32,3057,0,0,28
9,34,3633,2,1,9,7,31,2129,0,0,88
3,0,1818,0,1,3,19,6,1170,0,0,16
9,32,5707,0,16,11,12,60,4149,3,0,265
21,42,6660,3,17,10,16,20,7278,0,0,134
50,27,11881,1,25,276,97,15,10132,25,0,7278
43,77,18592,6,117,334,115,29,11088,39,0,9495
122,310,30497,4,148,587,226,30,14980,126,0,14980
61,23,9277,2,36,207,128,33,7055,30,0,5323
140,39,11094,11,121,295,283,15,6146,46,0,8162
16,0,171,5,0,11,18,0,267,3,0,24
307,1298,120353,68,278,2162,859,90,36330,315,0,56098
28,23,7641,3,3,219,65,8,6768,13,0,4578
15,61,7686,5,48,208,104,14,5140,17,0,7374
37,23,1843,4,8,38,41,7,1726,13,0,530
51,81,15403,7,52,319,100,14,6242,37,0,13018
20,8,4365,3,6,96,49,8,3427,19,0,2766
36,6,3975,1,2,122,53,4,3301,14,0,1379
50,76,21170,3,108,686,185,34,17130,61,0,15067
6011,308,44977,380,141,903,5512,53,13887,895,0,13832
26,5,2857,1,5,76,17,0,2527,4,0,646
373,1559,122144,36,443,2937,848,71,36122,223,0,81995
32,20,4892,2,15,84,50,6,3222,15,0,3656
18,27,5440,2,36,247,52,8,6063,9,0,2297
1552,3625,409123,151,1729,7062,2252,210,113497,423,0,154175
39,82,12354,3,24,219,78,11,4154,69,0,18896
15,4,2591,5,0,61,39,5,2421,3,0,1258
26,77,22522,6,77,776,108,49,18248,51,0,18850
41,15,2067,1,4,84,35,1,1987,28,0,2568
86,18,13181,20,11,330,185,5,6936,49,0,17399
25,22,8178,10,37,339,81,6,5998,6,0,4773
139,647,67176,23,165,1317,685,58,19525,103,0,35080
38,63,14333,2,78,294,136,24,9203,41,0,12525
26,16,3655,1,3,89,36,4,4684,21,0,2902
38,34,9228,3,4,280,195,12,9291,31,0,9827
89,55,27064,16,47,891,270,14,14318,92,0,24271
42,37,16862,3,38,396,117,20,8832,33,0,3432
46,72,17211,2,33,713,144,33,14409,74,0,15130
30,3,544,5,0,35,37,1,781,4,0,81
24,64,9787,16,79,271,107,14,6858,30,0,6766
11,8,1408,4,12,31,21,0,898,4,0,608
245,136,36433,73,82,784,262,11,13733,75,0,24204
30,11,2017,2,8,35,47,7,1676,12,0,1326
26,14,5195,2,46,163,67,11,4086,17,0,3753
29,3,1327,1,12,40,49,0,1278,7,0,149
51,75,10670,3,65,295,162,26,4528,84,0,18843
64,76,19587,5,150,723,144,49,14902,75,0,16786
26,11,2408,0,0,114,45,1,2300,9,0,621
34,40,10019,2,42,426,58,4,3818,14,0,5899
17,0,370,2,0,36,53,0,750,2,0,196
24,47,10991,4,50,263,72,10,8821,35,0,9084
100,15432,335574,1,3503,16869,112,2919,72104,3,44,79499
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,920,11715,0,186,841,4,494,4278,0,0,1310
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
12,344,7721,0,106,782,0,194,2455,0,0,2877
0,204,4338,0,18,313,0,60,1649,0,4,874
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,319,12244,0,36,537,0,86,4732,0,1,1475
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
4,869,13250,0,182,569,0,330,1877,0,15,3570
6,493,28022,0,49,422,0,235,6353,0,3,4734
24,44,11033,0,1,759,2,12,6521,0,0,6227
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2,3265,17520,0,210,382,0,439,7870,0,6,2742
5,926,10738,2,301,629,6,344,3914,0,31,9364
275,5236,89851,60,1713,4941,589,3326,20057,34,20,12525
2,1469,2609,0,206,193,0,674,949,0,13,473
0,0,0,0,0,0,0,0,0,0,0,0
0,0,553,0,1,1,0,0,72,0,0,84
12,598,8328,1,152,758,6,123,4101,1,24,1260
3,441,14503,0,186,428,1,125,2389,0,0,3023
4,4700,54732,0,637,1729,2,862,14580,0,9,21781
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
7,3418,58125,0,617,2468,0,413,10490,0,0,16879
2,1373,5945,0,136,619,0,204,2732,0,6,1009
0,0,0,0,0,0,0,0,0,0,0,0
0,11,387,0,0,0,0,2,526,0,0,48
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
9,262,4170,0,70,31,13,10,1060,1,0,598
2,27,2055,0,0,5,0,8,469,0,0,667
11,3415,18705,2,417,1506,2,626,5565,0,20,9146
0,0,0,0,0,0,0,0,0,0,0,0
1,75,25657,0,22,575,0,14,8632,0,0,6039
0,11,16276,0,3,1128,0,4,9462,0,0,2676
3,1932,36887,0,446,2604,1,898,10430,0,0,5846
